目标：三视图 view1 不透明占比 ≈ 0.505（别把角色弄虚）
      豆包图最大内部空洞平均 alpha ≈ 0（两腿之间要透）

hole_tol flat_tol core_tol | 三视图 view1              | 豆包图最大空洞                   
------------------------------------------------------------------------------------------------
16       14       0        | 占比=0.506 OK         | 平均alpha=123    面积=6      
16       14       12       | 占比=0.443 偏低         | 平均alpha=0      面积=10149  
16       14       22       | 占比=0.408 偏低         | 平均alpha=1      面积=21408  
16       14       40       | 占比=0.405 偏低         | 平均alpha=8      面积=39299  
16       22       0        | 占比=0.506 OK         | 平均alpha=123    面积=6      
16       22       12       | 占比=0.443 偏低         | 平均alpha=0      面积=10149  
16       22       22       | 占比=0.408 偏低         | 平均alpha=1      面积=21408  
16       22       40       | 占比=0.405 偏低         | 平均alpha=8      面积=39299  
16       30       0        | 占比=0.506 OK         | 平均alpha=123    面积=6      
16       30       12       | 占比=0.443 偏低         | 平均alpha=0      面积=10149  
16       30       22       | 占比=0.408 偏低         | 平均alpha=1      面积=21408  
16       30       40       | 占比=0.405 偏低         | 平均alpha=8      面积=39299  
26       14       0        | 占比=0.506 OK         | 平均alpha=123    面积=6      
26       14       12       | 占比=0.443 偏低         | 平均alpha=0      面积=10149  
26       14       22       | 占比=0.408 偏低         | 平均alpha=1      面积=21408  
26       14       40       | 占比=0.405 偏低         | 平均alpha=8      面积=39299  
26       22       0        | 占比=0.506 OK         | 平均alpha=123    面积=6      
26       22       12       | 占比=0.443 偏低         | 平均alpha=0      面积=10149  
26       22       22       | 占比=0.408 偏低         | 平均alpha=1      面积=21408  
26       22       40       | 占比=0.405 偏低         | 平均alpha=8      面积=39299  
26       30       0        | 占比=0.506 OK         | 平均alpha=123    面积=6      
26       30       12       | 占比=0.443 偏低         | 平均alpha=0      面积=10149  
26       30       22       | 占比=0.408 偏低         | 平均alpha=1      面积=21408  
26       30       40       | 占比=0.405 偏低         | 平均alpha=8      面积=39299  
40       14       0        | 占比=0.506 OK         | 平均alpha=123    面积=6      
40       14       12       | 占比=0.443 偏低         | 平均alpha=0      面积=10149  
40       14       22       | 占比=0.408 偏低         | 平均alpha=1      面积=21408  
40       14       40       | 占比=0.405 偏低         | 平均alpha=8      面积=39299  
40       22       0        | 占比=0.506 OK         | 平均alpha=123    面积=6      
40       22       12       | 占比=0.443 偏低         | 平均alpha=0      面积=10149  
40       22       22       | 占比=0.408 偏低         | 平均alpha=1      面积=21408  
40       22       40       | 占比=0.405 偏低         | 平均alpha=8      面积=39299  
40       30       0        | 占比=0.506 OK         | 平均alpha=123    面积=6      
40       30       12       | 占比=0.443 偏低         | 平均alpha=0      面积=10149  
40       30       22       | 占比=0.408 偏低         | 平均alpha=1      面积=21408  
40       30       40       | 占比=0.405 偏低         | 平均alpha=8      面积=39299  
55       14       0        | 占比=0.506 OK         | 平均alpha=123    面积=6      
55       14       12       | 占比=0.443 偏低         | 平均alpha=0      面积=10149  
55       14       22       | 占比=0.408 偏低         | 平均alpha=1      面积=21408  
55       14       40       | 占比=0.405 偏低         | 平均alpha=8      面积=39299  
55       22       0        | 占比=0.506 OK         | 平均alpha=123    面积=6      
55       22       12       | 占比=0.443 偏低         | 平均alpha=0      面积=10149  
55       22       22       | 占比=0.408 偏低         | 平均alpha=1      面积=21408  
55       22       40       | 占比=0.405 偏低         | 平均alpha=8      面积=39299  
55       30       0        | 占比=0.506 OK         | 平均alpha=123    面积=6      
55       30       12       | 占比=0.443 偏低         | 平均alpha=0      面积=10149  
55       30       22       | 占比=0.408 偏低         | 平均alpha=1      面积=21408  
55       30       40       | 占比=0.405 偏低         | 平均alpha=8      面积=39299  

最佳组合: 没找到，需要放宽判据
